Acidimicrobiia	sk__Bacteria.p__Actinobacteria.c__Acidimicrobiia	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Acidimicrobiia
Acidithiobacillales	sk__Bacteria.p__Proteobacteria.c__Acidithiobacillia.o__Acidithiobacillales	sk__Bacteria.p__Proteobacteria.c__Acidithiobacillia.o__Acidithiobacillales
Acidobacteria	sk__Bacteria.p__Acidobacteria	sk__Bacteria.p__Acidobacteria
Acidobacteriia	sk__Bacteria.p__Acidobacteria.c__Acidobacteriia	sk__Bacteria.p__Acidobacteria.c__Acidobacteriia
Aconoidasida	sk__Eukaryota.p__Apicomplexa.c__Aconoidasida	sk__Eukaryota.nr__Sar.nr__Alveolata.p__Apicomplexa.c__Aconoidasida
Actinobacteria	sk__Bacteria.p__Actinobacteria.c__Actinobacteria	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria
Actinopolysporales	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinopolysporales	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Actinopolysporales
Actinopterygii	sk__Eukaryota.k__Metazoa.p__Chordata.sc__Actinopterygii	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Deuterostomia.p__Chordata.nr__Vertebrata.nr__Gnathostomata.nr__Teleostomi.nr__Euteleostomi.sc__Actinopterygii
Aerococcaceae	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae
Aeromonadales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales
Afrotheria	sk__Eukaryota.k__Metazoa.p__Chordata.c__Mammalia.so__Afrotheria	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Deuterostomia.p__Chordata.nr__Vertebrata.nr__Gnathostomata.nr__Teleostomi.nr__Euteleostomi.sc__Sarcopterygii.nr__Dipnotetrapodomorpha.nr__Tetrapoda.nr__Amniota.c__Mammalia.nr__Theria.nr__Eutheria.so__Afrotheria
